# v3-gemma: LLAMA_KQ_MASK_DERIVED_VERIFY=1 -- every 'verify_derived_kq_mask_impl' record from the run
0.00.976.978 I verify_derived_kq_mask_impl: n_kv=256 n_tps=2 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=0 | pairs=512 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.03.092.123 I verify_derived_kq_mask_impl: n_kv=8448 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=0 | pairs=17301504 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.03.108.366 I verify_derived_kq_mask_impl: n_kv=2560 n_tps=2048 n_stream=1 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=5242880 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.03.574.413 I verify_derived_kq_mask_impl: n_kv=10496 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=0 | pairs=21495808 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.03.590.692 I verify_derived_kq_mask_impl: n_kv=2560 n_tps=2048 n_stream=1 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=5242880 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.04.100.984 I verify_derived_kq_mask_impl: n_kv=12544 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=0 | pairs=25690112 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.04.116.807 I verify_derived_kq_mask_impl: n_kv=2560 n_tps=2048 n_stream=1 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=5242880 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.04.652.712 I verify_derived_kq_mask_impl: n_kv=14592 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=0 | pairs=29884416 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.04.668.339 I verify_derived_kq_mask_impl: n_kv=2560 n_tps=2048 n_stream=1 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=5242880 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.05.246.189 I verify_derived_kq_mask_impl: n_kv=16640 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=0 | pairs=34078720 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.05.262.110 I verify_derived_kq_mask_impl: n_kv=2560 n_tps=2048 n_stream=1 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=5242880 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.05.886.605 I verify_derived_kq_mask_impl: n_kv=18688 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=0 | pairs=38273024 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.05.903.107 I verify_derived_kq_mask_impl: n_kv=2560 n_tps=2048 n_stream=1 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=5242880 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.06.574.550 I verify_derived_kq_mask_impl: n_kv=20736 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=0 | pairs=42467328 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.06.590.814 I verify_derived_kq_mask_impl: n_kv=2560 n_tps=2048 n_stream=1 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=5242880 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.07.310.140 I verify_derived_kq_mask_impl: n_kv=22784 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=0 | pairs=46661632 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.07.325.791 I verify_derived_kq_mask_impl: n_kv=2560 n_tps=2048 n_stream=1 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=5242880 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.08.076.216 I verify_derived_kq_mask_impl: n_kv=24832 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=0 | pairs=50855936 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.08.092.012 I verify_derived_kq_mask_impl: n_kv=2560 n_tps=2048 n_stream=1 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=5242880 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.08.889.207 I verify_derived_kq_mask_impl: n_kv=26880 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=0 | pairs=55050240 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.08.905.247 I verify_derived_kq_mask_impl: n_kv=2560 n_tps=2048 n_stream=1 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=5242880 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.09.752.174 I verify_derived_kq_mask_impl: n_kv=28928 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=0 | pairs=59244544 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.09.768.478 I verify_derived_kq_mask_impl: n_kv=2560 n_tps=2048 n_stream=1 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=5242880 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.10.663.343 I verify_derived_kq_mask_impl: n_kv=30976 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=0 | pairs=63438848 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.10.679.562 I verify_derived_kq_mask_impl: n_kv=2560 n_tps=2048 n_stream=1 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=5242880 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.11.624.304 I verify_derived_kq_mask_impl: n_kv=33024 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=0 | pairs=67633152 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.11.639.895 I verify_derived_kq_mask_impl: n_kv=2560 n_tps=2048 n_stream=1 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=5242880 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.12.613.519 I verify_derived_kq_mask_impl: n_kv=35072 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=0 | pairs=71827456 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.12.629.364 I verify_derived_kq_mask_impl: n_kv=2560 n_tps=2048 n_stream=1 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=5242880 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.13.645.450 I verify_derived_kq_mask_impl: n_kv=37120 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=0 | pairs=76021760 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.13.661.351 I verify_derived_kq_mask_impl: n_kv=2560 n_tps=2048 n_stream=1 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=5242880 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.14.727.110 I verify_derived_kq_mask_impl: n_kv=39168 n_tps=2048 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=0 | pairs=80216064 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.14.743.076 I verify_derived_kq_mask_impl: n_kv=2560 n_tps=2048 n_stream=1 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=5242880 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.15.792.713 I verify_derived_kq_mask_impl: n_kv=40448 n_tps=1312 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=0 | pairs=53067776 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.15.801.946 I verify_derived_kq_mask_impl: n_kv=2560 n_tps=1312 n_stream=1 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=3358720 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.17.774.759 I verify_derived_kq_mask_impl: n_kv=42496 n_tps=2044 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=0 | pairs=86861824 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.17.790.612 I verify_derived_kq_mask_impl: n_kv=2560 n_tps=2044 n_stream=1 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=5232640 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.19.046.950 I verify_derived_kq_mask_impl: n_kv=42496 n_tps=4 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=0 | pairs=169984 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.19.046.979 I verify_derived_kq_mask_impl: n_kv=2560 n_tps=4 n_stream=1 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=10240 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.19.069.458 I verify_derived_kq_mask_impl: n_kv=42496 n_tps=1 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=0 | pairs=42496 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
0.19.069.469 I verify_derived_kq_mask_impl: n_kv=2560 n_tps=1 n_stream=1 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=2560 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
# aggregate:
     18 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=5242880 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
      2 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=512 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
      2 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=0 | pairs=512 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
      1 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=5232640 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
      1 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=4718592 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
      1 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=3358720 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
      1 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=2560 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
      1 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=2048 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
      1 causal=1 swa=1(swa_type=1 n_swa=512) is_2d=0 | pairs=10240 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
      1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=0 | pairs=8912896 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
