# v3-27b: LLAMA_KQ_MASK_DERIVED_VERIFY=1 -- every 'verify_derived_kq_mask_impl' record from the run
0.02.635.752 I verify_derived_kq_mask_impl: n_kv=256 n_tps=2 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=512 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
We1.01.748.774 I verify_derived_kq_mask_impl: n_kv=41728 n_tps=1 n_stream=1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=41728 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
# aggregate:
      2 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=512 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
      1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=8912896 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
      1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=85292032 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
      1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=80216064 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
      1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=76021760 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
      1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=71827456 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
      1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=67633152 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
      1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=63438848 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
      1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=59244544 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
      1 causal=1 swa=0(swa_type=0 n_swa=0) is_2d=1 | pairs=55050240 mismatches: core=0 ext=0 | 2d: cells=0 dropped_pairs=0
